amount,code,mktCap,remark,industry,priceLimit,priceHighLimit,qrr,price,daily,name,turnoverRate,id,ffCap,limitStatistic,isNewHigh
[208020363, 000848, 9.37560955968E9, 60日新高, 食品饮料, 1.3969732522964478, 9.45, 1.5528459548950195, 8.71, 2022-12-07, 承德露露, 2.238271951675415, 4399, 9.375378640160002E9, {"ct":0,"days":0}, true]
[212881517, 300662, 9.8339822654E9, 60日新高, 文化传媒, 5.02417516708374, 57.08, 1.2429957389831543, 49.96, 2022-12-07, 科锐国际, 2.191333055496216, 4400, 9.7869149494E9, {"ct":0,"days":0}, true]
[213767038, 301177, 2.240056E10, 60日新高, 珠宝首饰, 2.8466484546661377, 65.34, 1.3096359968185425, 56.0, 2022-12-07, 迪阿股份, 10.482097625732422, 4401, 2.042001528E9, {"ct":0,"days":0}, true]
[214028757, 000507, 5.71155370416E9, 60日新高, 航运港口, 1.636661171913147, 6.72, 2.407482385635376, 6.21, 2022-12-07, 珠海港, 3.8136041164398193, 4402, 5.60351744613E9, {"ct":0,"days":0}, true]
[225311149, 000566, 6.4479046464E9, 60日新高, 化学制药, 6.1965813636779785, 5.15, 2.7053253650665283, 4.97, 2022-12-07, 海南海药, 3.9496843814849854, 4403, 5.7919894977699995E9, {"ct":0,"days":0}, true]
[229009593, 600000, 2.1544495398912E11, 60日新高, 银行, -0.27173912525177, 8.1, 0.9388993978500366, 7.34, 2022-12-07, 浦发银行, 0.1062154695391655, 4404, 2.1544495463504E11, {"ct":0,"days":0}, true]
[229549801, 000017, 3.47349203712E9, 60日新高, 交运设备, 10.043667793273926, 5.04, 2.270537853240967, 5.04, 2022-12-07, 深中华A, 15.448986053466797, 4405, 1.52702428032E9, {"ct":1,"days":1}, true]
[230322629, 000881, 8.159024723040001E9, 60日新高, 化学制品, 4.7330098152160645, 9.06, 1.333787441253662, 8.63, 2022-12-07, 中广核技, 3.4501166343688965, 4406, 6.696834027990001E9, {"ct":0,"days":0}, true]
[232880027, 300030, 2.5322440852799997E9, 60日新高, 医疗器械, 6.225680828094482, 9.25, 1.5356708765029907, 8.19, 2022-12-07, 阳普医疗, 10.56446647644043, 4407, 2.19827775258E9, {"ct":0,"days":0}, true]
[233624606, 600015, 8.498571757056E10, 60日新高, 银行, -0.18691588938236237, 5.89, 1.0109012126922607, 5.34, 2022-12-07, 华夏银行, 0.3414210379123688, 4408, 6.847314672702E10, {"ct":0,"days":0}, true]
[234504262, 600827, 2.1570592474079998E10, 60日新高, 商业百货, 1.2562813758850098, 13.13, 1.4784070253372192, 12.09, 2022-12-07, 百联股份, 1.2108831405639648, 4409, 1.93977995328E10, {"ct":0,"days":0}, true]
[238343273, 300783, 8.553329999999999E9, 60日新高, 食品饮料, 1.7652671337127686, 25.15, 1.1314401626586914, 21.33, 2022-12-07, 三只松鼠, 2.802175521850586, 4410, 8.553329999999999E9, {"ct":0,"days":0}, true]
[240145780, 301215, 8.106312E9, 60日新高, 汽车服务, -2.6984126567840576, 7.56, 0.9681796431541443, 6.13, 2022-12-07, 中汽股份, 13.787673950195312, 4411, 1.6894280061299999E9, {"ct":0,"days":0}, true]
